Date,Close,Volume,Open,High,Low
04-10-23,173.66,53020290,171.09,174.21,170.97
05-10-23,174.91,48527920,173.79,175.45,172.68
06-10-23,177.49,57266680,173.8,177.99,173.18
09-10-23,178.99,42390770,176.81,179.05,175.8
10-10-23,178.39,43698020,178.1,179.72,177.95
11-10-23,179.8,47551100,178.2,179.85,177.6
12-10-23,180.71,56743120,180.07,182.34,179.04
13-10-23,178.85,51456080,181.42,181.93,178.14
16-10-23,178.72,52516980,176.75,179.08,176.51
17-10-23,177.15,57549350,176.65,178.42,174.8
18-10-23,175.84,54764380,175.58,177.58,175.11
19-10-23,175.46,59302860,176.04,177.84,175.19
20-10-23,172.88,64244030,175.31,175.42,172.64
23-10-23,173,55980110,170.91,174.01,169.93
24-10-23,173.44,43816640,173.05,173.67,171.45
25-10-23,171.1,57156960,171.88,173.06,170.65
26-10-23,166.89,70625260,170.37,171.38,165.67
27-10-23,168.22,58499130,166.91,168.96,166.83
30-10-23,170.29,51130960,169.02,171.17,168.87
31-10-23,170.77,44846020,169.35,170.9,167.9
01-11-23,173.97,56934910,171,174.23,170.12
02-11-23,177.57,77334750,175.52,177.78,175.46
03-11-23,176.65,79829250,174.24,176.82,173.35
06-11-23,179.23,63841310,176.38,179.43,176.21
07-11-23,181.82,70529970,179.18,182.44,178.97
08-11-23,182.89,49340280,182.35,183.45,181.59
09-11-23,182.41,53763540,182.96,184.12,181.81
10-11-23,186.4,66177920,183.97,186.57,183.53
13-11-23,184.8,43627520,185.82,186.03,184.21
14-11-23,187.44,60108380,187.7,188.11,186.3
15-11-23,188.01,53790500,187.85,189.5,187.78
16-11-23,189.71,54412920,189.57,190.96,188.65
17-11-23,189.69,50941400,190.25,190.38,188.57
20-11-23,191.45,46538610,189.89,191.91,189.88
21-11-23,190.64,38134490,191.41,191.52,189.74
22-11-23,191.31,39630010,191.49,192.93,190.83
24-11-23,189.97,24048340,190.87,190.9,189.25
27-11-23,189.79,40552610,189.92,190.67,188.9
