Date,Close,Volume,Open,High,Low
04-10-23,112.474,3511,112.68,113.198,111.4
05-10-23,112.294,2900,112.878,113.42,112.25
06-10-23,110.51,119150,108.44,110.836,107.448
09-10-23,111.512,25610,111.96,113.0324,111.14
10-10-23,113.74,76365,112.918,114.3575,112.894
11-10-23,116.324,24667,116.022,116.79,115.2836
12-10-23,113.674,2228,114.59,115.534,113.426
13-10-23,114.138,15525,113.312,114.522,113.312
16-10-23,114.056,26197,113.142,114.248,112.2926
17-10-23,113.96,10109,114.01,114.466,113.87
18-10-23,113.498,8004,113,114.47,112.25
19-10-23,109.83,7751,109.25,111.082,109.25
20-10-23,109.884,44758,110.634,110.82,109.232
23-10-23,108.84,2931,109.18,109.79,108.84
24-10-23,109.414,6984,107.93,109.886,107.93
25-10-23,109.62,203719,109,110.096,108.765
26-10-23,109.634,20387,109.9,110.73,109.414
27-10-23,106.372,4568,108.432,108.556,106.372
30-10-23,108.414,5021,108.438,108.772,107.48
31-10-23,108.172,3379,108.204,108.23,105.95
01-11-23,109.3463,7447,109.238,109.634,108.69
02-11-23,111.08,80877,109.43,111.434,109.43
03-11-23,110.736,1475,111.77,111.77,110.736
06-11-23,110.95,5834,110.48,111.488,109.95
07-11-23,110.36,6451,110.782,110.918,110.3
08-11-23,110.13,4684,109.28,110.566,109.28
09-11-23,110.22,20419,111.32,111.36,110.22
10-11-23,110.396,3374,110.811,110.811,109.25
13-11-23,108.28,4151,109.5,110.056,108.28
14-11-23,110.362,3506,109.99,111.654,109.99
15-11-23,112.022,7370,111.76,112.44,111.76
16-11-23,110.98,33076,110.55,111.678,110.55
17-11-23,111.6249,170402,108.55,115.5,108.55
20-11-23,110.966,4289,111.51,111.51,110.1
21-11-23,113.2,3844,111.17,113.2,111.17
22-11-23,113.276,5226,113.402,113.5,112.958
24-11-23,113.8315,2386,112.35,114.132,112.35
27-11-23,113.742,4881,114.25,114.302,112.99
28-11-23,113.076,5302,112.28,113.688,112.28
29-11-23,113.388,30169,112.27,113.85,112.26
30-11-23,113.544,12000,112.81,114.084,112.388
01-12-23,113.882,3644,113,114.194,112.25
04-12-23,114.72,8897,112.82,115.212,112.82
05-12-23,113.48,8462,114.28,114.28,112.664
06-12-23,112.85,5123,113.824,114.026,112.65
07-12-23,111.83,7912,113.4,113.4,111.184
08-12-23,112.93,7866,112,113.264,111.98
11-12-23,112.21,8065,111.15,113.1099,111.15
12-12-23,112.9,20204,111.79,113.266,111.79
13-12-23,112.91,21211,113.23,113.275,111.75
14-12-23,112.0514,7295,112.99,113.444,112.008
15-12-23,112.642,16612,111.5,113.652,111.5
18-12-23,113.26,4896,112.6,113.536,112.05
19-12-23,112.08,7497,112.654,112.924,110.91
20-12-23,111.72,6392,110.36,112.6,110.36
21-12-23,112.958,7183,112.03,113.426,111.39
