Date,Close,Volume,Open,High,Low
04-10-23,268.48,95,266.9,268.48,264.82
05-10-23,268.11,498,266,271.3,266
06-10-23,271.01,3836,270.83,273.09,269.52
09-10-23,274.39,778,275,277.53,273.72
10-10-23,280.44,273,279.84,280.5,276.81
11-10-23,277.05,1896,281.4,285,277
12-10-23,277.4,3097,279.01,281.6,277.4
13-10-23,285,4333,279.71,285.5,279.71
16-10-23,280.58,3348,279.84,280.58,275.04
17-10-23,280.49,1509,277.87,281.74,277.87
18-10-23,276.3,1187,280,283.5,275.5
19-10-23,264.21,525,268,268,262
20-10-23,266.6,1972,265,270.1,265
23-10-23,264.05,2295,263,268.9,263
24-10-23,266,1462,269,269,262.42
25-10-23,262.23,553,261.69,265.82,261.48
26-10-23,264.68,133,263.4,267.91,263.4
27-10-23,264.1,621,264.95,264.95,262.9
30-10-23,264.02,1893,262.22,270.06,262.22
31-10-23,260.83,14913,261.35,262.3,252.87
01-11-23,260.2,3261,261.93,262.38,254.25
02-11-23,258.02,291,260.66,262.6,258.02
03-11-23,266.11,1880,263.6,266.11,262.88
06-11-23,261.6,297,265.79,265.79,261.54
07-11-23,262.28,168,262.1,264.81,261.6
08-11-23,262.09,458,266.79,267.61,260.86
09-11-23,263.24,96,267.45,267.45,263.24
10-11-23,259.79,106,260.99,264.43,259.79
13-11-23,263.2,5928,261.13,265.14,261.13
14-11-23,269,454,265.81,269,265.81
15-11-23,267,4088,267.14,269.02,265.62
16-11-23,264.03,99,268.2,268.2,263.1
17-11-23,262,2613,268.2,269.25,262
20-11-23,269,2117,265.01,269,265.01
21-11-23,268.99,305,266.19,268.99,266.19
22-11-23,265.75,2277,266.36,268.71,265.75
24-11-23,273.27,1131,269.49,273.27,268.61
27-11-23,266.18,1058,269.15,271.52,266.18
28-11-23,265.5,926,266,269.5,265
29-11-23,265.59,221,267.04,270.67,265.54
30-11-23,265,874,269.16,274.21,265
01-12-23,276.04,2535,266.95,277.43,266.95
04-12-23,282.89,2876,274.57,285.67,274.57
05-12-23,286,3952,285.2,288.9,285.2
06-12-23,285.01,1053,286,286.42,282.8
07-12-23,284,1361,284.5,287.24,284
08-12-23,285.3,574,286.4,290,285.3
11-12-23,286.04,575,286.5,289.7,286
12-12-23,288.21,535,290,292.2,285
13-12-23,290.5,2744,286,290.8,285.5
14-12-23,284.2,2800,288.5,288.5,282.75
15-12-23,277,907,278.7,285.91,277
18-12-23,280.04,504,285.5,285.5,279.24
19-12-23,283.84,7817,278.95,284,278.95
20-12-23,284,1421,283,284,272.62
21-12-23,280.94,1814,281.47,287.68,280.01
22-12-23,275.5,1707,281.16,286.34,275
26-12-23,285.14,2285,280.29,288.53,280.29
27-12-23,285.8,3440,290.86,292.92,284
28-12-23,285.37,2154,292.9,293,283
29-12-23,285,2226,286.5,292.2,284.5
02-01-24,285.54,1653,287.13,291.5,283
03-01-24,297.5,1916,295,298,293.59
04-01-24,296,2643,299.5,299.5,295
05-01-24,298.93,3924,292.5,298.93,292.5
08-01-24,296.6,2118,298.5,298.5,293.69
09-01-24,298.96,3655,299,300,298.1
10-01-24,297.58,5780,295,298.1,295
11-01-24,292.75,4285,297.84,297.84,292.75
12-01-24,293.41,831,297.5,297.87,293.41
16-01-24,290.5,2627,294,294,286.5
17-01-24,286.2,2600,286.2,287,286.2
18-01-24,282.6,2742,286.63,286.63,281.1
19-01-24,283.57,841,283.9,285,277.5
22-01-24,285.39,4285,284,289.5,282
23-01-24,283,817,279.1,284.5,278
24-01-24,279.9,57621,279.75,279.9,279
25-01-24,279.8,1009,280.5,281.7,274.5
26-01-24,283.86,1260,284.5,289.3,283.86
29-01-24,285.4,13465,287.3,287.99,283
30-01-24,289,527,284.5,289,283.2
31-01-24,283.44,3304,284.5,289.97,283.44
01-02-24,271.31,840,275.85,275.85,270.01
02-02-24,273.6,315,273.9,274.5,269.5
05-02-24,265.39,1520,268.5,268.5,263.18
06-02-24,265,33477,262,266.19,260.23
07-02-24,261,10850,261.2,265.2,260.06
08-02-24,255.79,549,262,262,255.79
09-02-24,256.2,11252,255.75,259.8,255.3
12-02-24,260.58,7945,255.39,260.58,253.73
13-02-24,253.5,248,255,259.9,253.5
14-02-24,252.91,4172,258.5,260,252.91
15-02-24,259.09,964,259.4,260.5,255.43
16-02-24,255.06,299,259.4,259.7,254.5
20-02-24,259.8,886,261.5,267.5,259.8
21-02-24,262.75,254,263.8,263.8,260.6
