Date,Close,Volume,Open,High,Low
04-10-23,261.16,129721600,248.14,261.86,247.6
05-10-23,260.05,119159200,260,263.6,256.25
06-10-23,260.53,118121800,253.98,261.65,250.65
09-10-23,259.67,101377900,255.31,261.36,252.05
10-10-23,263.62,122656000,257.75,268.94,257.65
11-10-23,262.99,103706300,266.2,268.6,260.9
12-10-23,258.87,111508100,262.92,265.41,256.63
13-10-23,251.12,102296800,258.9,259.6,250.22
16-10-23,253.92,88917180,250.05,255.4,248.48
17-10-23,254.85,93562910,250.1,257.18,247.08
18-10-23,242.68,125147800,252.7,254.63,242.08
19-10-23,220.11,170772700,225.95,230.61,216.78
20-10-23,211.99,138010100,217.01,218.86,210.42
23-10-23,212.08,150683400,210,216.98,202.51
24-10-23,216.52,118231100,216.5,222.05,214.11
25-10-23,212.42,107065100,215.88,220.1,212.2
26-10-23,205.76,115112600,211.32,214.8,204.88
27-10-23,207.3,94881170,210.6,212.41,205.77
30-10-23,197.36,136448200,209.28,210.88,194.67
31-10-23,200.84,118068300,196.12,202.8,194.07
01-11-23,205.66,121661700,204.04,205.99,197.85
02-11-23,218.51,125987600,212.97,219.2,211.45
03-11-23,219.96,119534800,221.15,226.37,218.4
06-11-23,219.27,117335800,223.98,226.32,215
07-11-23,222.18,116900100,219.98,223.12,215.72
08-11-23,222.11,106584800,223.15,224.15,217.64
09-11-23,209.98,142110500,219.75,220.8,206.68
10-11-23,214.65,131310100,210.03,215.38,205.69
13-11-23,223.71,140447600,215.6,225.4,211.61
14-11-23,237.41,149771600,235.03,238.14,230.72
15-11-23,242.84,150354000,239.29,246.7,236.45
16-11-23,233.59,136816800,239.49,240.88,230.96
17-11-23,234.3,142766200,232,237.39,226.54
20-11-23,235.6,116562400,234.04,237.1,231.02
21-11-23,241.2,122288000,235.04,243.62,233.34
22-11-23,234.21,118117100,242.04,244.01,231.4
24-11-23,235.45,65125200,233.75,238.75,232.33
27-11-23,236.08,112031800,236.89,238.33,232.1
28-11-23,246.72,148549900,236.68,247,234.01
29-11-23,244.14,135401300,249.21,252.75,242.76
30-11-23,240.08,132353200,245.14,245.22,236.91
01-12-23,238.83,121331700,233.14,240.19,231.9
04-12-23,235.58,104099800,235.75,239.37,233.29
05-12-23,238.72,137971100,233.87,246.66,233.7
06-12-23,239.37,126436200,242.92,246.57,239.17
07-12-23,242.64,107142300,241.55,244.08,236.98
08-12-23,243.84,103126800,240.27,245.27,239.27
11-12-23,239.74,97913890,242.74,243.44,237.45
12-12-23,237.01,95328310,238.55,238.99,233.87
13-12-23,239.29,146286300,234.19,240.3,228.2
14-12-23,251.05,160829200,241.22,253.88,240.79
15-12-23,253.5,135932800,251.21,254.13,248.3
18-12-23,252.08,116416500,253.78,258.74,251.36
19-12-23,257.22,106737400,253.48,258.34,253.01
20-12-23,247.14,125097000,256.41,259.84,247
21-12-23,254.5,109594200,251.9,254.8,248.55
22-12-23,252.54,93370090,256.76,258.22,251.37
26-12-23,256.61,86892380,254.49,257.97,252.91
27-12-23,261.44,106494400,258.35,263.34,257.52
28-12-23,253.18,113619900,263.66,265.13,252.71
29-12-23,248.48,100891600,255.1,255.19,247.43
